,TAEE11.SA,BBAS3.SA,ABEV3.SA,WEGE3.SA,RANI3.SA,GOGL34.SA,BERK34.SA,Capital,tx retorno
0,12674.062303349363,18519.923139151542,313.30484942017387,146.82236660551706,17713.15453776855,19863.574500577455,30769.15830312739,99999.99999999999,0.0
1,12697.1053210792,18327.772527208792,319.9838548528063,155.8339633039741,17515.978888146932,19896.05736876818,30479.36301710421,99392.0949404641,-0.6079050595358848
2,12720.148338809036,18746.554711180914,326.46043033239846,159.9659722135487,17417.390023402106,19844.083985994504,31218.848936294202,100433.45239822671,1.0477266410235053
3,12347.609111841517,19490.505172267407,324.84125856113957,166.57711668320835,18896.22923417864,20854.316861679177,32157.12570972312,104237.20446493421,3.7873357689879317
4,12616.45219172924,19603.823333003857,334.55617758324956,176.65120005027325,19553.48625260946,21110.9356871456,32136.78872206911,105532.69356419078,1.2428279383608798
5,12558.84208010912,19283.58260356027,325.8532520787207,171.2403372063325,19323.442448402802,21055.71421596998,32660.961681562927,105379.63661889014,-0.14503272884580642
6,12743.191356538875,19460.944635686257,340.0208041874378,177.22180884078685,19520.62433762854,19977.26553133063,31557.706283797816,103776.97475801034,-1.5208458790533674
7,12988.991418696758,18500.211761107534,327.26999389693924,177.63498752721625,19126.266798781187,20110.44707666675,31762.85074966697,102993.67278634335,-0.7547936076316764
8,12965.94840096692,18455.874518318473,330.6599869158001,176.82836046359392,19849.251806909928,19490.014571784628,30898.80417511941,102167.38182047875,-0.8022735217712906
9,12965.94840096692,17884.36210376984,324.35588648826916,169.5285584159233,19684.933912533157,20240.38053360094,31572.449921042306,102841.95931681736,0.6602669896385471
10,12846.888530536882,17702.07252397307,329.8465394818328,181.43248522127197,19224.85254372396,20155.92428263654,31703.366127472,102144.38303304557,-0.6782992937958587
11,12916.02066448103,17401.530111603763,330.86335435456414,176.29705368778116,18830.501244480718,20675.658110373264,31986.299668089883,102317.170207071,0.16915974123563604
12,12758.556106807328,17012.316775738975,325.7793915963511,174.5262267130575,19290.582613289924,21439.01642579735,31727.516057880923,102728.29359782391,0.4018127064312482
13,12608.770843513226,16839.875167118462,317.44172838662354,172.460206397893,18534.735690180252,21991.233121724796,32009.685458394317,102474.20221571557,-0.24734313518639528
14,12393.696174219405,16598.465701520287,308.087227983076,175.05747004736142,18699.051504688985,22530.457464044473,32561.313157276865,103266.12869978046,0.7728057081116013
15,12374.492803679364,16155.04934127692,313.1711907412891,175.01812045152897,18304.693965841634,22251.10003559316,30504.783281950793,100078.30873953468,-3.08699473911096
16,12424.42054016526,16628.019113936127,313.1711907412891,174.50652812457545,18403.281790652447,21370.80260101396,31308.076839307603,100622.27860394126,0.543544221777692
17,12435.942562489285,17017.241948687988,316.0182232785416,173.0898792330983,19060.545048687374,22007.475547905804,31933.424663854566,102943.73787413666,2.307102663946692
18,12501.23299540721,16682.220950953826,307.2738028701974,164.86527445129033,18304.693965841634,21825.568708197952,31836.82494221891,101622.68063994103,-1.2832808109326743
19,12531.958388271274,16894.072254692626,317.23838326894816,166.3410032478364,19389.172517968764,22442.75312467814,31816.489894006783,103558.02556613437,1.904441915924715
20,12750.873731673102,16780.75646867794,317.44172838662354,167.6986515361307,19487.758262911535,22774.081951731827,31765.647424871735,104044.2582197889,0.46952677109899366
21,12804.643169185214,16913.7788832931,318.8652334947054,174.46722610987462,20473.65522983197,24362.518214730786,31816.489894006783,106864.41785065242,2.7105384565345725
22,12666.378901296923,16844.801527428357,317.23838326894816,168.36759466528247,20506.51090520878,24063.672255867812,32945.16749606036,107512.13706379646,0.6061130787698321
23,12723.989012917047,16731.48455405279,315.6114884010136,166.26225647503992,21196.6339983566,24362.518214730786,32284.228973397916,107780.72849833118,0.24982429134987605
24,12597.248821189203,16687.144936541954,303.81673497991886,168.22987901005746,20637.962724868554,24216.344315786886,32411.332237072722,107022.0796494493,-0.7038817230611283
25,12601.088468379,16889.142332300074,304.22344753635826,167.26575840084212,20309.333175719126,24554.171303815754,32894.323087483426,107719.54757363458,0.6517047010017318
26,12501.23299540721,16657.585587321693,305.24024008800075,169.27271467131493,19980.705706437733,24356.022037926898,32879.07131646385,106849.1305983167,-0.8080399471812605
27,12485.870298975176,16721.63302079388,304.0201024186829,171.181289022018,20342.199250436126,24226.088580992717,32767.21982380863,107018.21236644723,0.1582434664500587
28,12455.144906111113,16628.019113936127,300.7663796460797,170.53198103983948,20243.609345757275,24459.968803474243,33229.8775654491,107487.91809541377,0.43890261160239863
29,12416.740218867455,16435.87681351957,310.5275479638892,165.18011879908155,20112.155446229466,25012.18549940169,33885.7308714771,108338.39651625825,0.7912316434387945
30,12274.636303789364,16386.608460977066,300.7663796460797,164.0585839461592,20703.690714566474,24982.950719612905,33809.46813749546,108622.17930003352,0.2619410965092994
31,12297.678294600992,16076.219264792388,302.7999424282763,163.78310505457762,20243.609345757275,24333.283434942005,33555.26161014587,106972.63499772138,-1.518607261373206
32,12021.155920333676,14204.030179703635,296.4958420007453,162.7599679818022,20966.598513622088,24417.74167007769,34078.92643586462,106147.70852958426,-0.7711565375151275
33,12028.83726854969,15222.455732300563,298.73277222170583,164.609510008568,20868.008608943244,24947.219763020246,34317.88119219465,107847.74484723866,1.601576087891332
34,12071.082629901359,15162.427515422494,298.52942710403056,170.59101336377682,21295.223903035447,24141.632330028322,33860.30866718862,106999.79548604405,-0.7862467243943683
35,11836.803563149288,14737.22170906509,288.76823646513236,157.4081057410443,20637.962724868554,24122.141815445368,34297.544204540616,106077.8503592751,-0.8616326064746604
36,11813.762599255871,14031.87235033452,285.10782345717854,153.57125845115613,19586.348167590382,24781.5553494934,34587.3394905638,105239.55703914631,-0.7902623566461431
37,11679.340032393799,13936.828860971795,280.02388302005414,154.1629139622137,20046.43161626762,25337.02013382279,34592.424707198246,106026.2321476365,0.7475089506482568
38,11706.223724231644,14472.088772994097,284.4977211408866,152.30504523741808,20046.43161626762,25457.20932555114,36092.24166700732,108210.99787243013,2.060589799844492
39,11713.906099365873,14502.106443515782,288.1581787910178,152.18647305747314,20079.29561111658,24762.06285073916,36132.91564231536,107630.63129890124,-0.5363286402857992
40,12432.101888381276,15027.364027446843,300.56301220731575,144.73526784905417,20177.883435927393,25216.83094209444,35410.97003557463,108710.44860948095,1.003262080272438
41,12416.740218867455,15307.499268293812,306.66374519608274,144.35974169809685,20478.06870980599,25856.753961559516,36793.854164977805,111303.93981039875,2.385687147915605
42,12182.45909827896,14607.155823052404,298.73277222170583,136.67137626941079,19452.508659424402,25314.281530837896,38583.466410810055,110575.27567089483,-0.6546615876717121
43,12612.611517621233,14502.106443515782,308.2906177429287,141.31600843045686,19121.68484949619,25700.8338132385,38390.27084642252,110777.11409646762,0.18253486084314208
44,12754.71543269932,14957.325170951339,310.5275479638892,142.8576529546449,18592.36883347907,25116.132264949036,38156.40130672696,110030.32820972425,-0.6741337259364322
45,12727.829687025052,15032.36400413158,306.86711263484676,142.14610885233475,18327.705625800427,25401.985870204237,36829.442923651404,108768.34133229987,-1.1469445724263894
46,12689.423972863184,15080.477054533434,305.64695264444015,140.62425807889196,18393.870387786068,24697.09711435771,37063.31246334696,108370.45220361068,-0.3658133642707617
47,12981.311097398953,14974.913547733811,311.1376279590925,144.71548995868613,18162.29372083632,25047.916455994357,36554.89940864779,108177.18734852901,-0.17833722306386246
48,13181.023070260744,15015.131835614457,306.0536875219681,145.0712699400298,18526.201991625392,25337.02013382279,36092.24166700732,108602.7436557927,0.393388215846846
49,13707.189261548583,15432.356202106084,313.5779032977284,144.65620386871365,19287.09883432833,25255.81197126034,36458.299687012135,110598.99006342192,1.8381178416229993
50,13503.637641496998,15301.659827463718,311.1376279590925,141.92871066205848,18989.35324565686,24469.713068680074,35588.91382894259,108306.34395086138,-2.072935848008961
51,13764.798346250494,15432.356202106084,317.23838326894816,142.20542666306164,19154.76515062097,24092.907035656597,35405.88481894018,108310.15536350635,0.003519103780935673
52,13749.435649818462,15477.598213889158,316.0182232785416,140.92073610988592,18923.192643407292,24203.34997800782,35177.100495879065,107987.61594039024,-0.2977924110935004
53,13876.174814628097,14919.621713424116,306.66374519608274,141.53345420186474,18890.10818254643,24508.694097845975,35009.32325689623,107652.1192647388,-0.310680694938803
54,13722.549904144196,14648.173204808334,300.96972476375504,139.37905986494354,18526.201991625392,24911.488806427573,35954.9718489474,108203.7345405816,0.5124054032659364
55,13741.752247766022,14859.299031046688,304.8335275315616,140.46614597858817,18592.36883347907,25181.099985501776,36153.252629969385,108973.0724012731,0.7110086023906614
56,13864.654846140495,14909.567141453957,308.087227983076,143.76681735686327,18526.201991625392,25145.36704473782,37327.68554508168,110225.33061437929,1.1491446331759692
57,14736.477599476222,14979.942021079778,311.1376279590925,142.56815348961877,18327.705625800427,25434.468738394957,38080.13857274533,112012.43833894543,1.6213221721405269
58,15051.408768660041,15442.41196143713,317.03499350909556,148.40144161989636,18426.954848646936,25606.63131289698,37886.93912947402,112879.7824562441,0.7743283961680447
59,14947.712621580242,15306.688300809681,310.9342605203285,147.4324994560123,18426.954848646936,25304.535281460776,37002.30150038491,111446.55931285888,-1.26968985251259
60,14552.126269210044,15055.345374051569,305.03687264923684,148.42118778951,18691.609736853432,26425.211099496682,37454.78880875647,112632.53934880695,1.0641692693434512
61,14847.855094772036,15035.235042750359,310.5275479638892,152.07933620948916,18493.117530764535,27308.760590820402,37968.28708009011,114115.86222337082,1.3169576777188885
62,14928.508224121992,14854.270557700724,312.96784562361375,152.45500510384124,18625.444974867787,27214.558090478884,37470.04057977605,113558.24527767289,-0.48864104852176515
63,15208.873326333738,14758.761622871267,309.51075541224657,150.59627991867686,18857.023721685575,27380.224488177024,37881.85779172335,114546.84798612188,0.8705688486394525
64,15239.597692279594,14633.09134685309,314.1879832929317,151.1894897467,18559.28437261822,27243.79287026767,37622.56604773931,113763.70980279752,-0.6836837478227609
65,14940.031273364226,14673.308447372852,312.35776562841045,149.31100253154474,18426.954848646936,27997.406920485922,38781.74719183203,115281.11744986192,1.3338239845507305
66,15032.205398119999,14854.270557700724,315.4081432833383,149.31100253154474,18559.28437261822,27737.540006617557,39147.80521183685,115795.82469270824,0.44648009512067155
67,15036.044018391587,14854.270557700724,317.8484409430628,148.2629963873202,18559.28437261822,28094.857509229376,38969.861418468885,115980.42931373918,0.15942251935321394
68,15105.175125417521,14879.40461290436,321.50887627210534,150.7346617097442,18724.696277582327,27448.438312960418,38400.437400807656,115030.39526765412,-0.8191330655580864
69,15066.76838433744,14899.512569483797,322.72901394142326,154.82784441593395,20411.903947820345,27997.406920485922,38639.39215713767,117492.54083762254,2.1404304177512934
70,15420.107321519552,14964.862537846304,321.30550883334126,152.35609979162393,20908.14174258071,27763.526698004393,38852.92470917921,118383.22461775513,0.7580768734617216
71,15677.43248675609,14889.462746957171,319.88198140417074,149.8844344691999,21801.36810925493,27627.097064266327,38278.4193537673,118743.54617687518,0.3043687653242255
72,15738.881218647799,15130.747539662472,317.6450735042988,146.06814222816251,21834.45049024775,27529.646475522866,37942.86487580163,118640.30381561499,-0.08694566111947521
73,15731.196789677155,14995.023879035021,323.3390939366265,144.1105117307808,21735.197107665183,26603.869850802592,37439.5370377369,116972.27427058425,-1.40595522043091
74,15623.66099540756,15115.665681707233,322.32232370607255,148.71774512239,21503.6246004515,27477.673092749195,38080.13857274533,118271.8030118893,1.1109715951139965
75,15669.748057785446,15130.747539662472,317.03499350909556,147.5708971074569,21139.716329662424,27350.987724216957,37637.81781875888,117393.62336070272,-0.7425097350534982
76,15623.66099540756,14964.862537846304,310.9342605203285,146.3647471421741,20676.560915894883,27448.438312960418,38110.642114784474,117281.46388455614,-0.09554137008103147
77,15589.096982271907,15231.282573116125,309.3073879734826,144.34783055481986,21139.716329662424,27474.425004347253,37195.50094365621,117083.67705158223,-0.16864287537253775
78,15727.360223241985,14899.512569483797,310.3242028462139,140.3535373004703,21397.10415894846,27753.78243279856,37668.32136079802,117896.75848541752,0.6944447375675455
79,16053.808280158779,14899.512569483797,303.81673497991886,138.45525633456984,23043.03060839272,27708.30522682878,38080.13857274533,120227.0672489239,1.9765672894175523
80,16234.319963235159,14954.807965876143,300.96972476375504,136.24059256428973,24017.155522225046,27022.906985565205,38593.63684407896,121260.03759830855,0.8591828554263437
81,16207.433190642681,14763.79009621723,297.7160019911519,133.27455928455106,25024.861985379022,27279.523826860335,38741.07321652399,122447.67287689897,0.9794119333235152
82,16016.151189372507,14708.492325103112,302.1898401119844,137.26883667852348,25864.627424036174,26896.221617032967,38685.14747019638,122610.09870253166,0.13264917316637703
83,15652.601604421434,14683.355895177707,329.0331143689542,133.39319490600482,26334.89598648946,26769.534264329435,38929.18744316085,122832.00150285385,0.18098248241407155
84,15576.694891041316,15050.316900705602,329.64317204306883,132.16721946922243,27846.460880890518,26886.47536765585,38751.243649792894,124573.00208159848,1.4173835461796847
85,15245.106081561771,15246.360868988711,335.5405822352492,127.7774635697755,28215.957757094384,25993.183595297585,38847.84337142855,124011.76972017602,-0.45052487460712776
86,15277.064803196885,15356.95522385607,343.0647980110095,127.6983916592464,28215.957757094384,25642.364253660937,37800.50984110727,122763.6150685858,-1.006480799690701
87,14933.49288511672,15256.41900304153,343.0647980110095,123.66454262416075,27170.55992537811,25496.188370545748,38156.40130672696,121479.79083144423,-1.0457693319183559
88,15221.134729769465,15663.589984923876,343.2681431286848,125.76055491260989,28353.360079207345,25642.364253660937,38746.15843315844,124095.63617876134,2.1533172961638147
89,16024.14061305173,15663.589984923876,349.36889843854044,126.94696663846764,26900.20411888283,26035.412712865425,38893.59868448726,123993.26197928813,-0.08249621229688975
90,16231.884113239385,15940.069341607395,353.8428035226388,127.2238095224884,27677.473682771204,26149.103743618594,38858.00992581366,125337.60742009537,1.0842084637081362
91,16259.84606919846,16161.248552455023,354.2495160790782,128.13339422470258,27711.269458500632,25921.71969794096,38527.54066448245,125064.00735288131,-0.2182904818799014
92,16220.324094941563,16437.723159695004,357.096526295242,124.96961376203807,27305.74094842781,26110.122714452704,38919.02088877573,125474.9979463501,0.3286241998540218
93,16274.050401888826,16487.990082741384,356.689791417714,125.99783408570602,26156.730330723898,26344.002936934223,38593.63684407896,124339.09822187072,-0.9052797314769045
94,16331.905946961306,16628.744591436574,358.11329652579593,125.40462425768284,25413.258622432993,26571.386982611868,39020.70194816205,124449.51601238827,0.08880375690076825
95,16526.1372573326,16737.9058017163,358.5200314033239,129.12206669782307,25210.492287528545,27286.021987835513,39325.74900520481,125573.94843771891,0.9035249483965169
96,16460.01707450043,16513.918482376772,358.11329652579593,130.38759791534153,24906.34902477598,27295.766253041344,39102.04989877813,124766.60162791378,-0.6429253996146689
97,16426.951335034184,16788.8162743621,355.2662863096321,129.71531617678926,25007.730112360172,27480.92118115114,38883.43213010214,125072.83263549616,0.2454430942149477
98,16323.642336119823,17017.886685648285,359.7401913937305,129.75482437639369,25852.587067971333,27104.115148127654,38639.39215713767,125427.1184107749,0.2832635735621647
99,16158.334177152816,17073.886187045162,362.99391416633375,136.04287710211827,28083.01051231618,26691.57617434022,38349.59687111449,126855.44071323733,1.1387667360615472
100,16009.564535969092,17048.433919124473,365.02749926961894,135.05420462899778,28387.153775068742,26863.736764670954,39173.22741612532,127982.1981148572,0.888221581419546
101,16340.169557802787,17297.871131662923,381.7028033679854,135.2123801708104,29434.772905848284,26561.64271740604,38064.886801725756,128216.25829798458,0.182884953200535
102,16307.107926009385,17918.928553840145,393.90431398769675,132.2859026718078,30313.42771705692,26178.33852340738,37373.44473702417,128617.4376739975,0.3128927495922973
103,16530.267522376023,18198.90943777213,394.1076144631947,135.33103165264134,31530.017407011474,26243.306243960113,37378.52607477484,130410.4653320104,1.3940781984458583
104,16654.24633103531,18590.888137136975,398.58156418947044,134.9750454863941,31158.280512932,26149.103743618594,37017.553271404475,130103.62860580321,-0.23528535491842417
105,16538.536267808562,18478.89269642588,398.3781744296178,134.5400587813151,30921.716322430082,26097.130360844927,37002.30150038491,129571.49538110528,-0.40900721248153804
